No --seed given; using freshly-generated seed=1202305597 (saved to runs/qwen3-8b/run_meta.json -- pass --seed 1202305597 to reproduce, or just resume against this same --out-dir).
[24/353 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=detective framing=story persona_context=same rep=3 -- ok
[25/353 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=detective framing=story persona_context=same rep=0 -- ok
[26/353 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=detective framing=literal persona_context=same rep=7 -- ok
[27/353 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=detective framing=story persona_context=same rep=4 -- ok
[28/353 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=detective framing=story persona_context=same rep=2 -- ok
[29/353 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=detective framing=story persona_context=same rep=7 -- ok
[30/353 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=cooperator framing=literal persona_context=same rep=0 -- ok
[31/353 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=detective framing=story persona_context=same rep=8 -- ok
[32/353 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=detective framing=story persona_context=same rep=5 -- ok
[33/353 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=cooperator framing=literal persona_context=same rep=1 -- ok
[34/353 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=cooperator framing=literal persona_context=same rep=3 -- ok
[35/353 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=cooperator framing=literal persona_context=same rep=4 -- ok
[36/353 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=cooperator framing=literal persona_context=same rep=5 -- ok
[37/353 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=cooperator framing=literal persona_context=same rep=7 -- ok
[38/353 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=cooperator framing=literal persona_context=same rep=6 -- ok
[39/353 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=cooperator framing=literal persona_context=same rep=2 -- ok
[40/353 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=cooperator framing=story persona_context=same rep=0 -- ok
[41/353 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=cooperator framing=literal persona_context=same rep=9 -- ok
[42/353 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=cooperator framing=story persona_context=same rep=1 -- ok
[43/353 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=cooperator framing=literal persona_context=same rep=8 -- ok
[skip] model=qwen/qwen3-8b persona=baseline opponent=cooperator framing=literal persona_context=same rep=0 -- already completed
[skip] model=qwen/qwen3-8b persona=baseline opponent=cooperator framing=literal persona_context=same rep=1 -- already completed
[skip] model=qwen/qwen3-8b persona=baseline opponent=cooperator framing=literal persona_context=same rep=2 -- already completed
[skip] model=qwen/qwen3-8b persona=baseline opponent=cooperator framing=literal persona_context=same rep=3 -- already completed
[skip] model=qwen/qwen3-8b persona=baseline opponent=cooperator framing=literal persona_context=same rep=4 -- already completed
[skip] model=qwen/qwen3-8b persona=baseline opponent=cooperator framing=literal persona_context=same rep=5 -- already completed
[skip] model=qwen/qwen3-8b persona=baseline opponent=cooperator framing=literal persona_context=same rep=6 -- already completed
[skip] model=qwen/qwen3-8b persona=baseline opponent=cooperator framing=literal persona_context=same rep=7 -- already completed
[skip] model=qwen/qwen3-8b persona=baseline opponent=cooperator framing=literal persona_context=same rep=8 -- already completed
[skip] model=qwen/qwen3-8b persona=baseline opponent=cooperator framing=literal persona_context=same rep=9 -- already completed
[skip] model=qwen/qwen3-8b persona=baseline opponent=cooperator framing=story persona_context=same rep=0 -- already completed
[skip] model=qwen/qwen3-8b persona=baseline opponent=cooperator framing=story persona_context=same rep=1 -- already completed
[skip] model=qwen/qwen3-8b persona=baseline opponent=cooperator framing=story persona_context=same rep=2 -- already completed
[skip] model=qwen/qwen3-8b persona=baseline opponent=cooperator framing=story persona_context=same rep=3 -- already completed
[skip] model=qwen/qwen3-8b persona=baseline opponent=cooperator framing=story persona_context=same rep=4 -- already completed
[skip] model=qwen/qwen3-8b persona=baseline opponent=cooperator framing=story persona_context=same rep=5 -- already completed
[skip] model=qwen/qwen3-8b persona=baseline opponent=cooperator framing=story persona_context=same rep=6 -- already completed
[skip] model=qwen/qwen3-8b persona=baseline opponent=cooperator framing=story persona_context=same rep=7 -- already completed
[skip] model=qwen/qwen3-8b persona=baseline opponent=cooperator framing=story persona_context=same rep=8 -- already completed
[skip] model=qwen/qwen3-8b persona=baseline opponent=cooperator framing=story persona_context=same rep=9 -- already completed
[skip] model=qwen/qwen3-8b persona=baseline opponent=cheater framing=literal persona_context=same rep=0 -- already completed
[skip] model=qwen/qwen3-8b persona=baseline opponent=cheater framing=literal persona_context=same rep=1 -- already completed
[skip] model=qwen/qwen3-8b persona=baseline opponent=cheater framing=literal persona_context=same rep=2 -- already completed
[skip] model=qwen/qwen3-8b persona=baseline opponent=cheater framing=literal persona_context=same rep=3 -- already completed
[skip] model=qwen/qwen3-8b persona=baseline opponent=cheater framing=literal persona_context=same rep=4 -- already completed
[skip] model=qwen/qwen3-8b persona=baseline opponent=cheater framing=literal persona_context=same rep=5 -- already completed
[skip] model=qwen/qwen3-8b persona=baseline opponent=cheater framing=literal persona_context=same rep=6 -- already completed
[skip] model=qwen/qwen3-8b persona=baseline opponent=cheater framing=literal persona_context=same rep=7 -- already completed
[skip] model=qwen/qwen3-8b persona=baseline opponent=cheater framing=literal persona_context=same rep=8 -- already completed
[skip] model=qwen/qwen3-8b persona=baseline opponent=cheater framing=literal persona_context=same rep=9 -- already completed
[skip] model=qwen/qwen3-8b persona=baseline opponent=cheater framing=story persona_context=same rep=0 -- already completed
[skip] model=qwen/qwen3-8b persona=baseline opponent=cheater framing=story persona_context=same rep=1 -- already completed
[skip] model=qwen/qwen3-8b persona=baseline opponent=cheater framing=story persona_context=same rep=2 -- already completed
[skip] model=qwen/qwen3-8b persona=baseline opponent=cheater framing=story persona_context=same rep=3 -- already completed
[skip] model=qwen/qwen3-8b persona=baseline opponent=cheater framing=story persona_context=same rep=4 -- already completed
[skip] model=qwen/qwen3-8b persona=baseline opponent=cheater framing=story persona_context=same rep=5 -- already completed
[skip] model=qwen/qwen3-8b persona=baseline opponent=cheater framing=story persona_context=same rep=6 -- already completed
[skip] model=qwen/qwen3-8b persona=baseline opponent=cheater framing=story persona_context=same rep=7 -- already completed
[skip] model=qwen/qwen3-8b persona=baseline opponent=cheater framing=story persona_context=same rep=8 -- already completed
[skip] model=qwen/qwen3-8b persona=baseline opponent=cheater framing=story persona_context=same rep=9 -- already completed
[skip] model=qwen/qwen3-8b persona=baseline opponent=copycat framing=literal persona_context=same rep=0 -- already completed
[skip] model=qwen/qwen3-8b persona=baseline opponent=copycat framing=literal persona_context=same rep=1 -- already completed
[skip] model=qwen/qwen3-8b persona=baseline opponent=copycat framing=literal persona_context=same rep=2 -- already completed
[skip] model=qwen/qwen3-8b persona=baseline opponent=copycat framing=literal persona_context=same rep=3 -- already completed
[skip] model=qwen/qwen3-8b persona=baseline opponent=copycat framing=literal persona_context=same rep=4 -- already completed
[skip] model=qwen/qwen3-8b persona=baseline opponent=copycat framing=literal persona_context=same rep=5 -- already completed
[skip] model=qwen/qwen3-8b persona=baseline opponent=copycat framing=literal persona_context=same rep=6 -- already completed
[skip] model=qwen/qwen3-8b persona=baseline opponent=copycat framing=literal persona_context=same rep=7 -- already completed
[skip] model=qwen/qwen3-8b persona=baseline opponent=copycat framing=literal persona_context=same rep=8 -- already completed
[skip] model=qwen/qwen3-8b persona=baseline opponent=copycat framing=literal persona_context=same rep=9 -- already completed
[skip] model=qwen/qwen3-8b persona=baseline opponent=copycat framing=story persona_context=same rep=0 -- already completed
[skip] model=qwen/qwen3-8b persona=baseline opponent=copycat framing=story persona_context=same rep=1 -- already completed
[skip] model=qwen/qwen3-8b persona=baseline opponent=copycat framing=story persona_context=same rep=2 -- already completed
[skip] model=qwen/qwen3-8b persona=baseline opponent=copycat framing=story persona_context=same rep=3 -- already completed
[skip] model=qwen/qwen3-8b persona=baseline opponent=copycat framing=story persona_context=same rep=4 -- already completed
[skip] model=qwen/qwen3-8b persona=baseline opponent=copycat framing=story persona_context=same rep=5 -- already completed
[skip] model=qwen/qwen3-8b persona=baseline opponent=copycat framing=story persona_context=same rep=6 -- already completed
[skip] model=qwen/qwen3-8b persona=baseline opponent=copycat framing=story persona_context=same rep=7 -- already completed
[skip] model=qwen/qwen3-8b persona=baseline opponent=copycat framing=story persona_context=same rep=8 -- already completed
[skip] model=qwen/qwen3-8b persona=baseline opponent=copycat framing=story persona_context=same rep=9 -- already completed
[skip] model=qwen/qwen3-8b persona=baseline opponent=detective framing=literal persona_context=same rep=0 -- already completed
[skip] model=qwen/qwen3-8b persona=baseline opponent=detective framing=literal persona_context=same rep=1 -- already completed
[skip] model=qwen/qwen3-8b persona=baseline opponent=detective framing=literal persona_context=same rep=2 -- already completed
[skip] model=qwen/qwen3-8b persona=baseline opponent=detective framing=literal persona_context=same rep=3 -- already completed
[skip] model=qwen/qwen3-8b persona=baseline opponent=detective framing=literal persona_context=same rep=4 -- already completed
[skip] model=qwen/qwen3-8b persona=baseline opponent=detective framing=literal persona_context=same rep=5 -- already completed
[skip] model=qwen/qwen3-8b persona=baseline opponent=detective framing=literal persona_context=same rep=6 -- already completed
[skip] model=qwen/qwen3-8b persona=baseline opponent=detective framing=literal persona_context=same rep=7 -- already completed
[skip] model=qwen/qwen3-8b persona=baseline opponent=detective framing=literal persona_context=same rep=8 -- already completed
[skip] model=qwen/qwen3-8b persona=baseline opponent=detective framing=literal persona_context=same rep=9 -- already completed
[skip] model=qwen/qwen3-8b persona=baseline opponent=detective framing=story persona_context=same rep=0 -- already completed
[skip] model=qwen/qwen3-8b persona=baseline opponent=detective framing=story persona_context=same rep=1 -- already completed
[skip] model=qwen/qwen3-8b persona=baseline opponent=detective framing=story persona_context=same rep=2 -- already completed
[skip] model=qwen/qwen3-8b persona=baseline opponent=detective framing=story persona_context=same rep=3 -- already completed
[skip] model=qwen/qwen3-8b persona=baseline opponent=detective framing=story persona_context=same rep=4 -- already completed
[skip] model=qwen/qwen3-8b persona=baseline opponent=detective framing=story persona_context=same rep=5 -- already completed
[skip] model=qwen/qwen3-8b persona=baseline opponent=detective framing=story persona_context=same rep=7 -- already completed
[skip] model=qwen/qwen3-8b persona=baseline opponent=detective framing=story persona_context=same rep=8 -- already completed
[skip] model=qwen/qwen3-8b persona=bard opponent=cooperator framing=literal persona_context=same rep=0 -- already completed
[skip] model=qwen/qwen3-8b persona=bard opponent=cooperator framing=literal persona_context=same rep=1 -- already completed
[skip] model=qwen/qwen3-8b persona=bard opponent=cooperator framing=literal persona_context=same rep=2 -- already completed
[skip] model=qwen/qwen3-8b persona=bard opponent=cooperator framing=literal persona_context=same rep=3 -- already completed
[skip] model=qwen/qwen3-8b persona=bard opponent=cooperator framing=literal persona_context=same rep=4 -- already completed
[skip] model=qwen/qwen3-8b persona=bard opponent=cooperator framing=literal persona_context=same rep=5 -- already completed
[skip] model=qwen/qwen3-8b persona=bard opponent=cooperator framing=literal persona_context=same rep=6 -- already completed
[skip] model=qwen/qwen3-8b persona=bard opponent=cooperator framing=literal persona_context=same rep=7 -- already completed
[skip] model=qwen/qwen3-8b persona=bard opponent=cooperator framing=literal persona_context=same rep=8 -- already completed
[skip] model=qwen/qwen3-8b persona=bard opponent=cooperator framing=literal persona_context=same rep=9 -- already completed
[skip] model=qwen/qwen3-8b persona=bard opponent=cooperator framing=story persona_context=same rep=0 -- already completed
[skip] model=qwen/qwen3-8b persona=bard opponent=cooperator framing=story persona_context=same rep=1 -- already completed
[1/310 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=cooperator framing=story persona_context=same rep=9 -- ok
[2/310 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=cooperator framing=story persona_context=same rep=3 -- ok
[3/310 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=cooperator framing=story persona_context=same rep=8 -- ok
[4/310 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=cooperator framing=story persona_context=same rep=6 -- ok
[5/310 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=cooperator framing=story persona_context=same rep=5 -- ok
[6/310 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=cooperator framing=story persona_context=same rep=2 -- ok
[7/310 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=cheater framing=literal persona_context=same rep=3 -- ok
[8/310 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=cooperator framing=story persona_context=same rep=7 -- ok
[9/310 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=cooperator framing=story persona_context=same rep=4 -- ok
[10/310 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=cheater framing=literal persona_context=same rep=4 -- ok
[11/310 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=cheater framing=literal persona_context=same rep=0 -- ok
[12/310 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=cheater framing=literal persona_context=same rep=8 -- ok
[13/310 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=cheater framing=literal persona_context=same rep=6 -- ok
[14/310 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=cheater framing=literal persona_context=same rep=5 -- ok
[15/310 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=cheater framing=literal persona_context=same rep=1 -- ok
[16/310 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=cheater framing=literal persona_context=same rep=9 -- ok
[17/310 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=cheater framing=literal persona_context=same rep=2 -- ok
[18/310 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=cheater framing=story persona_context=same rep=0 -- ok
[19/310 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=cheater framing=literal persona_context=same rep=7 -- ok
[20/310 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=cheater framing=story persona_context=same rep=2 -- ok
[21/310 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=cheater framing=story persona_context=same rep=1 -- ok
[22/310 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=cheater framing=story persona_context=same rep=5 -- ok
[23/310 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=cheater framing=story persona_context=same rep=4 -- ok
[24/310 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=cheater framing=story persona_context=same rep=8 -- ok
[25/310 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=cheater framing=story persona_context=same rep=6 -- ok
[26/310 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=cheater framing=story persona_context=same rep=7 -- ok
[27/310 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=cheater framing=story persona_context=same rep=3 -- ok
[28/310 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=copycat framing=literal persona_context=same rep=1 -- ok
[29/310 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=cheater framing=story persona_context=same rep=9 -- ok
[30/310 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=detective framing=story persona_context=same rep=6 -- ok
[31/310 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=copycat framing=literal persona_context=same rep=3 -- ok
[32/310 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=copycat framing=literal persona_context=same rep=0 -- ok
[33/310 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=copycat framing=literal persona_context=same rep=6 -- ok
[34/310 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=detective framing=story persona_context=same rep=9 -- ok
[35/310 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=copycat framing=literal persona_context=same rep=8 -- ok
[36/310 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=copycat framing=literal persona_context=same rep=7 -- ok
[37/310 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=copycat framing=literal persona_context=same rep=4 -- ok
[38/310 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=copycat framing=story persona_context=same rep=5 -- ok
[39/310 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=copycat framing=story persona_context=same rep=3 -- ok
[40/310 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=copycat framing=literal persona_context=same rep=2 -- ok
[41/310 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=copycat framing=literal persona_context=same rep=5 -- ok
[42/310 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=copycat framing=story persona_context=same rep=2 -- ok
[43/310 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=copycat framing=story persona_context=same rep=0 -- ok
[44/310 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=copycat framing=literal persona_context=same rep=9 -- ok
[45/310 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=copycat framing=story persona_context=same rep=9 -- ok
[46/310 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=copycat framing=story persona_context=same rep=4 -- ok
[47/310 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=copycat framing=story persona_context=same rep=6 -- ok
[48/310 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=detective framing=literal persona_context=same rep=0 -- ok
[49/310 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=copycat framing=story persona_context=same rep=1 -- ok
[50/310 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=copycat framing=story persona_context=same rep=7 -- ok
[51/310 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=detective framing=literal persona_context=same rep=4 -- ok
[52/310 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=detective framing=literal persona_context=same rep=1 -- ok
[53/310 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=copycat framing=story persona_context=same rep=8 -- ok
[54/310 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=detective framing=literal persona_context=same rep=5 -- ok
[55/310 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=detective framing=story persona_context=same rep=0 -- ok
[56/310 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=detective framing=literal persona_context=same rep=3 -- ok
[57/310 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=detective framing=literal persona_context=same rep=2 -- ok
[58/310 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=detective framing=literal persona_context=same rep=8 -- ok
[59/310 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=detective framing=literal persona_context=same rep=6 -- ok
[60/310 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=detective framing=literal persona_context=same rep=9 -- ok
[61/310 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=detective framing=story persona_context=same rep=2 -- ok
[62/310 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=detective framing=literal persona_context=same rep=7 -- ok
[63/310 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=detective framing=story persona_context=same rep=4 -- ok
[64/310 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=detective framing=story persona_context=same rep=3 -- ok
[65/310 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=cooperator framing=literal persona_context=same rep=1 -- ok
[66/310 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=detective framing=story persona_context=same rep=5 -- ok
[67/310 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=cooperator framing=literal persona_context=same rep=2 -- ok
[68/310 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=detective framing=story persona_context=same rep=7 -- ok
[69/310 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=cooperator framing=literal persona_context=same rep=0 -- ok
[70/310 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=cooperator framing=literal persona_context=same rep=4 -- ok
[71/310 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=detective framing=story persona_context=same rep=9 -- ok
[72/310 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=cooperator framing=literal persona_context=same rep=3 -- ok
[73/310 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=cooperator framing=literal persona_context=same rep=8 -- ok
[74/310 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=cooperator framing=story persona_context=same rep=0 -- ok
[75/310 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=cooperator framing=story persona_context=same rep=1 -- ok
[76/310 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=cooperator framing=literal persona_context=same rep=5 -- ok
[77/310 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=cooperator framing=literal persona_context=same rep=6 -- ok
[78/310 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=cooperator framing=literal persona_context=same rep=9 -- ok
[79/310 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=cooperator framing=story persona_context=same rep=3 -- ok
[80/310 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=detective framing=story persona_context=same rep=1 -- ok
[81/310 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=detective framing=story persona_context=same rep=6 -- ok
[82/310 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=cooperator framing=literal persona_context=same rep=7 -- ok
[83/310 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=cooperator framing=story persona_context=same rep=4 -- ok
[84/310 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=cooperator framing=story persona_context=same rep=8 -- ok
[85/310 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=cooperator framing=story persona_context=same rep=2 -- ok
[86/310 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=cooperator framing=story persona_context=same rep=9 -- ok
[87/310 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=cooperator framing=story persona_context=same rep=6 -- ok
[88/310 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=cheater framing=literal persona_context=same rep=2 -- ok
[89/310 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=cheater framing=literal persona_context=same rep=0 -- ok
[90/310 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=cooperator framing=story persona_context=same rep=5 -- ok
[91/310 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=cheater framing=literal persona_context=same rep=3 -- ok
[92/310 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=cheater framing=literal persona_context=same rep=8 -- ok
[93/310 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=cheater framing=literal persona_context=same rep=4 -- ok
[94/310 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=cheater framing=literal persona_context=same rep=5 -- ok
[95/310 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=cheater framing=literal persona_context=same rep=6 -- ok
[96/310 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=cheater framing=story persona_context=same rep=0 -- ok
[97/310 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=cheater framing=story persona_context=same rep=1 -- ok
[98/310 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=cheater framing=story persona_context=same rep=2 -- ok
[99/310 pending, 400 total] model=qwen/qwen3-8b persona=bard opponent=detective framing=story persona_context=same rep=8 -- ok
[100/310 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=cheater framing=literal persona_context=same rep=1 -- ok
[101/310 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=cheater framing=literal persona_context=same rep=7 -- ok
[102/310 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=cheater framing=story persona_context=same rep=6 -- ok
[103/310 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=cooperator framing=story persona_context=same rep=7 -- ok
[104/310 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=cheater framing=story persona_context=same rep=7 -- ok
[105/310 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=cheater framing=story persona_context=same rep=4 -- ok
[106/310 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=copycat framing=literal persona_context=same rep=0 -- ok
[107/310 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=cheater framing=story persona_context=same rep=9 -- ok
[108/310 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=cheater framing=story persona_context=same rep=5 -- ok
[109/310 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=cheater framing=literal persona_context=same rep=9 -- ok
[110/310 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=cheater framing=story persona_context=same rep=8 -- ok
[111/310 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=copycat framing=literal persona_context=same rep=5 -- ok
[112/310 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=cheater framing=story persona_context=same rep=3 -- ok
[113/310 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=copycat framing=literal persona_context=same rep=1 -- ok
[114/310 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=copycat framing=literal persona_context=same rep=6 -- ok
[115/310 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=copycat framing=literal persona_context=same rep=7 -- ok
[116/310 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=copycat framing=literal persona_context=same rep=8 -- ok
[117/310 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=copycat framing=literal persona_context=same rep=2 -- ok
[118/310 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=copycat framing=story persona_context=same rep=4 -- ok
[119/310 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=copycat framing=story persona_context=same rep=2 -- ok
[120/310 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=copycat framing=literal persona_context=same rep=3 -- ok
[121/310 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=copycat framing=story persona_context=same rep=0 -- ok
[122/310 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=copycat framing=story persona_context=same rep=1 -- ok
[123/310 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=copycat framing=literal persona_context=same rep=4 -- ok
[124/310 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=copycat framing=story persona_context=same rep=8 -- ok
[125/310 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=copycat framing=story persona_context=same rep=6 -- ok
[126/310 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=copycat framing=story persona_context=same rep=7 -- ok
[127/310 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=copycat framing=story persona_context=same rep=5 -- ok
[128/310 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=copycat framing=story persona_context=same rep=9 -- ok
[129/310 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=copycat framing=literal persona_context=same rep=9 -- ok
[130/310 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=detective framing=literal persona_context=same rep=0 -- ok
[131/310 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=copycat framing=story persona_context=same rep=3 -- ok
[132/310 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=detective framing=literal persona_context=same rep=4 -- ok
[133/310 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=detective framing=literal persona_context=same rep=9 -- ok
[134/310 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=detective framing=story persona_context=same rep=0 -- ok
[135/310 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=detective framing=literal persona_context=same rep=2 -- ok
[136/310 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=detective framing=story persona_context=same rep=1 -- ok
[137/310 pending, 400 total] model=qwen/qwen3-8b persona=altruist opponent=detective framing=literal persona_context=same rep=7 -- ok
